"","IsolateID","reads","taxon_id","taxon_name","realm","kingdom","phylum","class","order","family","genus","species","RelativeAbundance","relab_pct","Fungal_Order","Fungal_Family","Fungal_species","Fungal_Genus","Fungal_class"
"12","K02",1,929814,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.2,20,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"13","K02",2,1917232,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.037037037,3.703703704,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"14","K02",1,322019,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.022222222,2.222222222,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"15","K02",1,906669,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.0625,6.25,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"16","K02",1,2510470,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.071428571,7.142857143,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"17","K02",1,2843396,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",1,100,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"18","K02",4,2060084,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.033613445,3.361344538,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"19","K02",6,2847059,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.153846154,15.38461538,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"20","K02",1,1815968,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.020408163,2.040816327,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"21","K02",3,2696340,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.03,3,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"22","K02",20,2731619,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.074906367,7.490636704,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"23","K02",1,181082,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"24","K02",1,1981158,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.052631579,5.263157895,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"25","K02",1,2024264,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"26","K02",3,2716352,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.035294118,3.529411765,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"27","K02",1,1540091,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.076923077,7.692307692,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"28","K02",1,1124849,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.083333333,8.333333333,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"29","K02",1,1125653,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.076923077,7.692307692,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"30","K02",1,2419942,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.071428571,7.142857143,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"31","K02",1,2507711,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",1,100,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"32","K02",18,212035,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Imitervirales","unidentified","unidentified","unidentified",0.056426332,5.642633229,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"33","K02",14,186765,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Lambdavirus","Unidentified",0.133333333,13.33333333,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"34","K02",1,2732013,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.125,12.5,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"35","K02",1,2716354,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.045454545,4.545454545,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"36","K02",2,1513458,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.042553191,4.255319149,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"37","K02",1,760939,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"38","K02",1,880158,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.043478261,4.347826087,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"39","K02",1,2126984,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.013157895,1.315789474,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"40","K02",9,251749,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","unidentified","unidentified","unidentified",0.055900621,5.590062112,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"41","K02",1,2283031,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.071428571,7.142857143,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"42","K02",1,2419762,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.090909091,9.090909091,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"43","K02",1,2812854,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.5,50,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"44","K02",1,1147152,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.071428571,7.142857143,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"45","K02",20,482822,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Imitervirales","Unidentified","Lambdavirus","Unidentified",0.078431373,7.843137255,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"46","K02",4,11807,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.056338028,5.633802817,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"47","K02",4,46242,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.093023256,9.302325581,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"48","K02",4,445700,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.571428571,57.14285714,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"49","K02",4,1474867,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.045454545,4.545454545,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"50","K02",1,2894794,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.058823529,5.882352941,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"51","K02",1,2908746,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.166666667,16.66666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"52","K02",2,2053981,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.08,8,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"53","K02",1,936054,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"54","K02",1,1124655,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"55","K02",1,2811091,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.035714286,3.571428571,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"56","K02",1,1623292,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.058823529,5.882352941,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"57","K02",3,186789,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.09375,9.375,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"58","K02",1,1663209,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.142857143,14.28571429,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"59","K02",1,1815630,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.125,12.5,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"60","K02",3,1981157,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.25,25,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"61","K02",3,2079134,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.035714286,3.571428571,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"62","K02",1,129727,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"63","K02",1,129861,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.076923077,7.692307692,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"64","K02",1,137758,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"65","K02",2,10442,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.117647059,11.76470588,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"66","K02",2,10506,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.1,10,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"67","K02",4,2126985,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.028169014,2.816901408,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"68","K02",2,109981,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.037735849,3.773584906,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"69","K02",9,455364,"Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Megaviricetes","Algavirales","unidentified","unidentified","unidentified",0.037344398,3.734439834,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"70","K02",2,459770,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.048780488,4.87804878,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"71","K02",2,564886,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.074074074,7.407407407,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"72","K02",10,2024608,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.048543689,4.854368932,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"73","K02",2,1124654,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.071428571,7.142857143,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"74","K02",39,1590550,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Punavirus","Unidentified",0.131756757,13.17567568,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"75","K02",2,1421067,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.051282051,5.128205128,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"76","K02",1,693272,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.01754386,1.754385965,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"77","K02",1,2849600,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"78","K02",1,2866684,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",1,100,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"79","K02",1,880159,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.022727273,2.272727273,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"80","K02",1,2041344,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"81","K02",1,2797313,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.055555556,5.555555556,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"82","K02",10,2716351,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Peduoviridae","Unidentified","Unidentified",0.05952381,5.952380952,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"83","K02",2,2584487,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.039215686,3.921568627,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"84","K02",8,257816,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.06504065,6.504065041,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"85","K02",1,2842409,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.142857143,14.28571429,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"86","K02",6,2946167,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.04,4,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"87","K02",5,3044648,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.041666667,4.166666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"88","K02",1,2847060,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.25,25,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"89","K02",1,2847063,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.0625,6.25,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"90","K02",1,1923316,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",1,100,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"91","K02",1,1965368,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.1,10,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"92","K02",4,1960658,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.125,12.5,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"93","K02",1,2781608,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.5,50,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"94","K02",1,10294,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.066666667,6.666666667,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"95","K02",4,2847055,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.059701493,5.970149254,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"96","K02",4,2847058,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"97","K02",1,1649240,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.125,12.5,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"98","K02",3,181083,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.047619048,4.761904762,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
"99","K02",1,3044647,"Viruses","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified",0.090909091,9.090909091,"Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis ellipsospora","Neopestalotiopsis","Sordariomycetes"
